"Title",Genre
"Bloodborne",Action RPG
"Eternal Darkness: Sanity's Requiem",Action Adventure
"Eternal Darkness: Sanity's Requiem",Horror
"Warcraft III: Reign of Chaos",Strategy
"Warcraft III: Reign of Chaos",Real-Time
"Warcraft III: Reign of Chaos",Fantasy
"Warcraft III: Reign of Chaos",General
"Warcraft III: Reign of Chaos",Fantasy
"SSX 3",Sports
"SSX 3",Alternative
"SSX 3",Snowboarding
"The Sims",Simulation
"The Sims",Miscellaneous
"The Sims",Virtual Life
"The Sims",Virtual
"The Sims",Virtual Life
"Banjo-Kazooie",Action
"Banjo-Kazooie",Platformer
"Banjo-Kazooie",3D
"Sid Meier's Gettysburg!",Strategy
"Sid Meier's Gettysburg!",Real-Time
"Sid Meier's Gettysburg!",Wargame
"Sid Meier's Gettysburg!",Real-Time
"Sid Meier's Gettysburg!",General
"Rock Band 2",Action
"Rock Band 2",Miscellaneous
"Rock Band 2",Rhythm
"Rock Band 2",Music
"Rock Band 2",Music
"Forza Motorsport",Driving
"Forza Motorsport",Racing
"Forza Motorsport",GT / Street
"Celeste",Action
"Celeste",Platformer
"Celeste",2D
"Madden NFL 2004",Sports
"Madden NFL 2004",Traditional
"Madden NFL 2004",Football
"Madden NFL 2004",Sim
"Super Street Fighter IV",Action
"Super Street Fighter IV",Fighting
"Super Street Fighter IV",Fighting
"Super Street Fighter IV",3D
"Super Street Fighter IV",2D
"Super Street Fighter IV",3D
"World Soccer Winning Eleven 7 International",Sports
"World Soccer Winning Eleven 7 International",Traditional
"World Soccer Winning Eleven 7 International",Team
"World Soccer Winning Eleven 7 International",Soccer
"World Soccer Winning Eleven 7 International",Sim
"World Soccer Winning Eleven 7 International",Sim
"Advance Wars",Strategy
"Advance Wars",Turn-Based
"Advance Wars",Modern
"Vagrant Story",Role-Playing
"Vagrant Story",Action RPG
"What Remains of Edith Finch",Adventure
"What Remains of Edith Finch",3D
"What Remains of Edith Finch",First-Person
"Team Fortress 2",Action
"Team Fortress 2",Shooter
"Team Fortress 2",Shooter
"Team Fortress 2",First-Person
"Team Fortress 2",Modern
"Team Fortress 2",Tactical
"Team Fortress 2",Modern
"System Shock 2",Action Adventure
